transaction_id,sender_id,receiver_id,amount,timestamp
TXN_00001,ACC_4645,ACC_5232,180173.16,2025-12-27 09:24:57
TXN_00002,ACC_2769,ACC_5611,342412.95,2026-02-18 16:47:57
TXN_00003,ACC_7786,ACC_1098,253918.14,2026-02-17 14:02:57
TXN_00004,ACC_3160,ACC_6344,82631.86,2026-01-26 04:29:57
TXN_00005,ACC_9111,ACC_1530,313730.52,2026-02-02 20:17:57
TXN_00006,ACC_2904,ACC_4695,122708.74,2025-12-17 19:31:57
TXN_00007,ACC_3308,ACC_4012,32687.05,2026-01-14 06:59:57
TXN_00008,ACC_2834,ACC_7816,404590.05,2026-01-01 06:05:57
TXN_00009,ACC_6377,ACC_4875,44596.8,2026-01-04 14:43:57
TXN_00010,ACC_6258,ACC_6846,178406.89,2025-12-25 04:11:57
TXN_00011,ACC_3234,ACC_4601,366184.99,2026-01-11 12:13:57
TXN_00012,ACC_6579,ACC_7277,470897.38,2026-01-05 09:16:57
TXN_00013,ACC_7131,ACC_4632,301443.13,2026-02-05 00:42:57
TXN_00014,ACC_6453,ACC_1303,8302.08,2026-01-28 23:39:57
TXN_00015,ACC_5220,ACC_1447,93455.23,2025-12-21 22:49:57
TXN_00016,ACC_6363,ACC_1108,443400.97,2026-02-13 01:08:57
TXN_00017,ACC_6767,ACC_9543,29218.71,2025-12-23 02:05:57
TXN_00018,ACC_2521,ACC_1666,330425.47,2026-02-18 13:13:57
TXN_00019,ACC_5980,ACC_5149,24989.71,2026-02-16 13:26:57
TXN_00020,ACC_5977,ACC_1857,72030.25,2026-02-10 17:15:57
TXN_00021,ACC_7382,ACC_4612,19149.87,2026-01-22 09:06:57
TXN_00022,ACC_5338,ACC_8739,275235.7,2025-12-16 06:30:57
TXN_00023,ACC_3466,ACC_3048,144592.83,2026-02-17 21:44:57
TXN_00024,ACC_1205,ACC_7093,436801.28,2026-02-11 15:27:57
TXN_00025,ACC_5622,ACC_5546,296515.92,2026-02-16 22:24:57
TXN_00026,ACC_7744,ACC_6124,235373.72,2026-01-06 12:48:57
TXN_00027,ACC_4413,ACC_8201,156844.32,2026-01-19 22:16:57
TXN_00028,ACC_8929,ACC_7643,206484.96,2026-01-19 14:28:57
TXN_00029,ACC_4333,ACC_3797,376304.95,2026-02-09 14:58:57
TXN_00030,ACC_7327,ACC_1040,149512.74,2026-01-10 09:31:57
TXN_00031,ACC_8746,ACC_9970,207091.67,2026-01-26 15:40:57
TXN_00032,ACC_9363,ACC_4597,256627.88,2025-12-20 12:10:57
TXN_00033,ACC_2387,ACC_9815,214410.35,2026-01-27 19:39:57
TXN_00034,ACC_6600,ACC_4069,476917.28,2026-01-08 16:50:57
TXN_00035,ACC_4795,ACC_1284,57948.75,2026-01-22 11:27:57
TXN_00036,ACC_1448,ACC_2651,238667.94,2026-01-07 00:22:57
TXN_00037,ACC_4316,ACC_1145,467912.52,2025-12-13 02:13:57
TXN_00038,ACC_2277,ACC_9807,352767.45,2025-12-26 17:20:57
TXN_00039,ACC_9945,ACC_3428,461958.96,2026-02-14 19:15:57
TXN_00040,ACC_4913,ACC_2590,287851.41,2026-01-25 09:57:57
TXN_00041,ACC_1107,ACC_5535,452980.48,2025-12-18 02:20:57
TXN_00042,ACC_3001,ACC_3690,149939.52,2025-12-19 09:13:57
TXN_00043,ACC_8497,ACC_4113,353035.0,2025-12-22 19:59:57
TXN_00044,ACC_1486,ACC_7592,271013.38,2026-02-10 19:08:57
TXN_00045,ACC_7482,ACC_1333,221304.41,2026-01-04 14:02:57
TXN_00046,ACC_2196,ACC_7504,222871.53,2026-01-28 19:25:57
TXN_00047,ACC_1798,ACC_4984,266862.0,2026-02-16 01:23:57
TXN_00048,ACC_5467,ACC_9923,23773.67,2026-02-17 17:50:57
TXN_00049,ACC_5954,ACC_8190,346514.16,2026-02-02 12:57:57
TXN_00050,ACC_2474,ACC_4082,415209.21,2025-12-28 22:46:57
TXN_00051,ACC_2087,ACC_7451,49770.44,2026-02-15 03:19:57
TXN_00052,ACC_4454,ACC_7025,269755.86,2026-01-15 22:38:57
TXN_00053,ACC_6761,ACC_6161,175021.26,2025-12-17 16:52:57
TXN_00054,ACC_7755,ACC_9753,305070.7,2026-01-26 20:52:57
TXN_00055,ACC_1596,ACC_2981,72673.96,2026-01-18 14:39:57
TXN_00056,ACC_3635,ACC_6453,454590.83,2026-01-19 12:05:57
TXN_00057,ACC_5254,ACC_1633,310522.63,2026-01-27 10:26:57
TXN_00058,ACC_7310,ACC_9435,58843.45,2026-02-10 08:51:57
TXN_00059,ACC_3706,ACC_6242,248760.89,2026-02-05 05:22:57
TXN_00060,ACC_8313,ACC_1443,277922.51,2026-01-11 15:28:57
TXN_00061,ACC_8274,ACC_3227,212674.09,2026-02-12 12:56:57
TXN_00062,ACC_9873,ACC_7812,270664.96,2026-01-18 09:42:57
TXN_00063,ACC_1829,ACC_4882,331792.0,2026-01-01 16:11:57
TXN_00064,ACC_6154,ACC_2851,44786.46,2025-12-18 13:09:57
TXN_00065,ACC_6052,ACC_6425,283391.01,2026-02-13 09:12:57
TXN_00066,ACC_8507,ACC_4855,482848.77,2026-02-18 21:37:57
TXN_00067,ACC_3077,ACC_1247,11621.89,2026-01-24 04:45:57
TXN_00068,ACC_2255,ACC_3705,468621.38,2026-01-06 03:24:57
TXN_00069,ACC_2828,ACC_7243,165428.65,2026-02-01 10:51:57
TXN_00070,ACC_9781,ACC_5393,146130.86,2026-02-16 01:26:57
TXN_00071,ACC_6294,ACC_4537,320004.58,2026-02-02 03:56:57
TXN_00072,ACC_2306,ACC_6114,468987.85,2025-12-28 00:41:57
TXN_00073,ACC_4877,ACC_7804,447388.62,2025-12-29 15:59:57
TXN_00074,ACC_5673,ACC_3301,4276.66,2026-02-15 19:33:57
TXN_00075,ACC_4511,ACC_3844,217203.49,2026-02-01 09:37:57
TXN_00076,ACC_2762,ACC_3837,359634.52,2026-02-05 17:51:57
TXN_00077,ACC_5013,ACC_1416,162155.29,2026-01-31 23:08:57
TXN_00078,ACC_7414,ACC_6808,283552.61,2026-01-16 14:13:57
TXN_00079,ACC_9576,ACC_7520,461725.0,2026-02-07 09:26:57
TXN_00080,ACC_1762,ACC_4355,258594.37,2026-01-16 10:38:57
TXN_00081,ACC_9176,ACC_2505,25819.18,2026-02-04 23:19:57
